kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,er_min,er_cash,rsi_n,rsi_max,macd_pos,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,core,vol_max_v,v_xlk,v_tecl,use_credit
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.8,1.0,0.2717410012344077,-0.29221919983687117,1.0141033343027628,0.9299217894857859,0.3849532329061194,-0.2567697040586119,1.0845856086793382,1.4992159387240152,0.3162197216135243,-0.29221919983687117,1.0473889379734134,1.0821319125849747,8.892105858403076,0.29101775844841105,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.85,0.7,0.27784147298151374,-0.31972624577136144,1.0034098855160745,0.8689980151964134,0.38935412966952243,-0.2838278568931145,1.0797730985024843,1.3717967430383256,0.32193587787034783,-0.31972624577136144,1.039933410802497,1.0069110125559304,8.892105858403076,0.2997768582911009,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.85,1.0,0.28610280099615615,-0.3110780502124736,1.0133743536766753,0.9197138814543206,0.40354086367505126,-0.27351063400154874,1.0852752826986496,1.4754119712682405,0.3323316368676552,-0.3110780502124736,1.0474061710697897,1.0683223603872563,8.892105858403076,0.30732448427269543,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.9,0.7,0.29160162550368174,-0.3385139214975653,1.0012940793834157,0.8614169373408739,0.40719617524801754,-0.30011360461913383,1.077907948896403,1.3568067857662744,0.3373965855581771,-0.3385139214975653,1.0379862627735859,0.9966992910234084,8.892105858403076,0.31656802171440396,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.9,1.0,0.30028194220983373,-0.3296683983371287,1.0125063121163078,0.9108605608680651,0.42186834815537866,-0.28995661451341015,1.085500139258524,1.4549361078150806,0.3482356944321712,-0.3296683983371287,1.0471225272742697,1.0563211281053848,8.892105858403076,0.32372371701491615,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.95,0.7,0.3051635002439528,-0.35700766156526476,0.9993046553773555,0.8547813761362812,0.4247560532334218,-0.31610893127892725,1.076049914242334,1.3437015256573905,0.35263128133883814,-0.35700766156526476,1.0361064452780053,0.9877414949381231,8.892105858403076,0.3334007044456565,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,0.95,1.0,0.31426839543078855,-0.34798502067461157,1.0115505981318031,0.9031089752700872,0.43991838392849636,-0.30611101660541706,1.085378210346279,1.437120391180039,0.3639192658057062,-0.34798502067461157,1.046622885618193,1.0457900317094229,8.892105858403076,0.34020207922022394,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,1.0,0.7,0.31851729594366174,-0.37520325693034495,0.9974360897946314,0.8489193258863242,0.4420168341205635,-0.3318172293468272,1.0742228891700365,1.3321093512553914,0.3676276064607398,-0.37520325693034495,1.0343025671881731,0.9798092091961462,8.892105858403076,0.3502689207237045,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,,,14,75,False,fixed,,1.0,0.0,1.0,1.0,0.32805213691309887,-0.3660230995238736,1.0105435344877096,0.8962607478594447,0.45767367982648666,-0.3219772104790781,1.0849982012548922,1.4214474345730939,0.3793697247178791,-0.3660230995238736,1.04596964277106,1.0364638876927903,8.892105858403076,0.3567486059915418,0.27437231395611855,0.5084822438362362,0.21714544220764534,A-andchain,,,,
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,,,,14,75,False,fixed,,1.0,0.0,0.5,0.7,0.16880213878460792,-0.2050689496402438,0.9724725033165944,0.8231482098130438,0.24932203804016062,-0.16832151765188585,1.0448627662548375,1.481224988452136,0.20017282433310402,-0.2050689496402438,1.0064214578416633,0.9761244921977259,9.17710925130061,0.18610406763780887,0.2522053833974214,0.5102917891879665,0.23750282741461207,A-andchain,,,,
