kind,trend_n,prox_thr,mom_n,vol_max,rsi_max,confirm_up,cb_vol_pct,tecl_w,trend_buffer,prox_n,mom_thr,vol_n,abs_vol_max,vix_max,require_slope,er_min,er_cash,rsi_n,macd_pos,confirm_style,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,sizing,target_vol,max_leverage,min_weight,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,n_neigh,nb_CAGR_mean,nb_CAGR_min,nb_maxDD_mean,nb_maxDD_worst,nb_Sharpe_mean,nb_frac_hit
v2vol,90,0.94,45,0.65,75.0,5,0.88,0.7,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.23405570462351566,-0.31769200751169346,0.9975826673117484,0.7367377808990069,0.333893065633756,-0.2662048691806491,1.033221262461665,1.2542710682244247,0.2732613232027712,-0.31769200751169346,1.0144546452167966,0.8601454136132559,10.374123501470255,0.2590064405166177,0.283872427052703,0.49106536982583127,0.22506220312146574,11,0.27400082477241966,0.24366240191517452,-0.3214987539280613,-0.3771278142337615,1.0096356950313963,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.88,0.75,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.24751204085641687,-0.3391035282708216,0.9956943282933391,0.7299011075424255,0.3520917996174442,-0.2800862251919771,1.0339531754222198,1.257083597653233,0.28864373070754623,-0.3391035282708216,1.013834040579412,0.851196483207995,10.374123501470255,0.27534465258502233,0.283872427052703,0.49106536982583127,0.22506220312146574,12,0.28782969519987117,0.25540890334640043,-0.340316351509812,-0.4004282179037373,1.0090207230265296,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.88,0.8,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.2607949362800852,-0.35996150838892893,0.9936599821345458,0.7245078437617367,0.3700058529406294,-0.2937570659548331,1.0341448869670424,1.2595640950387215,0.30381450302616697,-0.35996150838892893,1.0128754707573282,0.8440194185926774,10.374123501470255,0.29180019408273095,0.283872427052703,0.49106536982583127,0.22506220312146574,12,0.3028004348711557,0.26688295119389305,-0.3607544777334397,-0.42304734554107104,1.007705143790384,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.88,0.85,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.2738953803685553,-0.38027592144432154,0.99156041187788,0.7202543335593704,0.3876168043431487,-0.30721995840963356,1.0339502813031245,1.2616914810798767,0.3187613797480633,-0.38027592144432154,1.0116957806366405,0.8382370846341767,10.374123501470255,0.30835428148113414,0.283872427052703,0.49106536982583127,0.22506220312146574,11,0.3160923601869473,0.2780744742102419,-0.3789116826392933,-0.44499787391016243,1.0058305190178654,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.9,0.7,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.23060765944489736,-0.3176920075116938,0.9830714182885928,0.7258843596699832,0.31259923355554653,-0.2990530614927871,0.9752402823975476,1.0452968847573096,0.2634079902509685,-0.3176920075116938,0.9814125042264789,0.8291300505609126,8.949106536982583,0.2600918078260957,0.27346754128025336,0.49174394933273013,0.2347885093870165,11,0.2634356794660375,0.23167821283675671,-0.3243668486500353,-0.38761727431908477,0.974511952630445,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.9,0.75,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.24402639765438994,-0.33910352827082224,0.9822461346651747,0.7196221133373176,0.3302858047314876,-0.31345332349327126,0.9790203359416889,1.0537001204856509,0.278591710930741,-0.33910352827082224,0.9827183153244774,0.82155356021022,8.949106536982583,0.2763775513467417,0.27346754128025336,0.49174394933273013,0.2347885093870165,12,0.27712540103118255,0.24336242375782224,-0.3421427395935812,-0.4105252882502761,0.9758955628844216,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.9,0.8,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.25727217966141835,-0.3599615083889288,0.9811401973491403,0.7147213623281149,0.34768571755662236,-0.32760918626343394,0.9819295809247055,1.0612819546428855,0.2935633175272747,-0.3599615083889288,0.9834639317362129,0.815540858357798,8.949106536982583,0.29278673163617175,0.27346754128025336,0.49174394933273013,0.2347885093870165,12,0.29188027930737864,0.2547777073266704,-0.36262073647159854,-0.43276349915711954,0.9763570579406405,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.9,0.85,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.27033602011610736,-0.3802759214443223,0.9798568801977781,0.7108943923910478,0.364780967485661,-0.341524089969686,0.9841689520085545,1.0680973266572187,0.30831067715120697,-0.3802759214443223,0.9838001224695067,0.8107551905474718,8.949106536982583,0.30929970336157636,0.27346754128025336,0.49174394933273013,0.2347885093870165,11,0.30491137064042595,0.2659140542330529,-0.3809960792568683,-0.4543443703213458,0.9757707619188273,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.93,0.7,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.21452930147558003,-0.3176920075116936,0.9195670129132055,0.675274468362833,0.29686491627675404,-0.3233089970514681,0.9304192176838678,0.9182080269467281,0.2474102517475827,-0.32330899705146676,0.9264790441387456,0.7652439431130278,8.892105858403076,0.26239701091043777,0.25718163311467995,0.4935534946844605,0.24926487220085952,10,0.2505328256111986,0.22361045021324788,-0.3302411404276242,-0.38130690791329,0.9302160270240162,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.93,0.75,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.22690581467758975,-0.33910352827082313,0.9197981012185601,0.6691343373353895,0.3143429426761202,-0.33721094483168257,0.9370907578284071,0.9321848756511244,0.2618448015982151,-0.33910352827082313,0.9296053561237131,0.7721677298181758,8.892105858403076,0.2786536235668729,0.25718163311467995,0.4935534946844605,0.24926487220085952,11,0.2633384572928547,0.23535437514240054,-0.3469419549452961,-0.4044509800405609,0.9322166037396539,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.93,0.8,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.23908957190476765,-0.3599615083889286,0.9196300652118515,0.6642087176899978,0.3315378379457854,-0.3508769507007493,0.9425719469319519,0.9448834905902452,0.2760544104123228,-0.3599615083889286,0.9319681300875869,0.7668998045036903,8.892105858403076,0.2950427152442089,0.25718163311467995,0.4935534946844605,0.24926487220085952,11,0.27753131553583993,0.24683345998561435,-0.366429741656634,-0.426918347083178,0.9342161168223289,0.0
v2vol,90,0.94,45,0.65,75.0,5,0.93,0.85,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.25107195476481925,-0.38027592144432154,0.9191833732285912,0.6602362668959575,0.3484318109949285,-0.3643103357797538,0.9471092649215013,0.9564148385995154,0.290027293410142,-0.38027592144432154,0.9337475420829481,0.7626759335920947,8.892105858403076,0.311543379017935,0.25718163311467995,0.4935534946844605,0.24926487220085952,10,0.2902572777732334,0.25803766516811333,-0.38521237671748954,-0.4487216007521527,0.9357318656108191,0.0
v2vol,90,0.94,45,0.65,75.0,6,0.85,0.7,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.2247317251109131,-0.2928234102565914,0.9556795641005571,0.7674650223969053,0.3560373945612787,-0.2187085434883289,1.0899361489170654,1.6279080317695873,0.2750549501476687,-0.2928234102565914,1.015114713651463,0.9393202200146743,9.576114001357158,0.26064013320523405,0.2940511196561864,0.49264872200859533,0.2133001583352183,10,0.2784281342169998,0.2658380861591698,-0.3000250410290652,-0.31769200751169424,1.0194121364962831,0.0
v2vol,90,0.94,45,0.65,75.0,6,0.85,0.75,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.23625364469554766,-0.3097207676672177,0.9493837501069593,0.7627956190183299,0.3769041395533015,-0.2335492316722917,1.0929306055372783,1.613810231164282,0.2900919404505433,-0.3097207676672177,1.0128856708237182,0.9366241167341909,9.576114001357158,0.277220597519759,0.2940511196561864,0.49264872200859533,0.2133001583352183,11,0.29189256460458757,0.2750549501476687,-0.3166079195531907,-0.33910352827082335,1.0169064012960545,0.0
v2vol,90,0.94,45,0.65,75.0,6,0.85,0.8,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.24755259518261474,-0.3291519472190333,0.9435154417945695,0.7520921485476783,0.3975510197995151,-0.24818148009043806,1.095105635933725,1.6018561080973746,0.30489988082249364,-0.3291519472190333,1.0105251626609957,0.9263195414718262,9.576114001357158,0.293912444289752,0.2940511196561864,0.49264872200859533,0.2133001583352183,11,0.3068214722882431,0.2900919404505433,-0.33562485927195806,-0.35996150838892893,1.0144896160225516,0.0
v2vol,90,0.94,45,0.65,75.0,6,0.85,0.85,0.0,60,0.0,20,,,True,,,14,False,sym,,10,,,fixed,,1.0,0.0,1.0,0.2586200679633486,-0.34819496119261806,0.9380555891735473,0.7427450043433641,0.4179580663196929,-0.2626066766466174,1.0966610976819413,1.591574409519403,0.3194663812599918,-0.34819496119261806,1.008115161475933,0.9174928326526418,9.576114001357158,0.3106977223842092,0.2940511196561864,0.49264872200859533,0.2133001583352183,10,0.3202819394362521,0.30489988082249364,-0.3532855748710075,-0.3802759214443212,1.0126632313944215,0.0
