date,state_held,state_signal,w_TECL,w_XLK,w_BIL,ret_gross,cost,ret_net,equity,drawdown,XLK_ret,TECL_ret,BIL_ret
2009-07-13,TECL,TECL,0.75,0.0,0.25,0.045578,0.0,0.045578,1.2739,-0.0618,0.018827,0.060698,0.000218
2009-07-14,TECL,TECL,0.75,0.0,0.25,0.007768,0.0,0.007768,1.2838,-0.0545,0.001121,0.010357,0.0
2009-07-15,TECL,TECL,0.75,0.0,0.25,0.095227,0.0,0.095227,1.406,0.0,0.037462,0.127114,-0.000436
2009-07-16,TECL,TECL,0.75,0.0,0.25,0.035409,0.0,0.035409,1.4558,0.0,0.014554,0.047067,0.000436
2009-07-17,TECL,TECL,0.75,0.0,0.25,0.022964,0.0,0.022964,1.4893,0.0,0.009573,0.030619,0.0
2009-07-20,TECL,TECL,0.75,0.0,0.25,0.020751,0.0,0.020751,1.5202,0.0,0.008942,0.027813,-0.000436
2009-07-21,TECL,TECL,0.75,0.0,0.25,0.013376,0.0,0.013376,1.5405,0.0,0.005743,0.017835,0.0
2009-07-22,TECL,TECL,0.75,0.0,0.25,0.013045,0.0,0.013045,1.5606,0.0,0.005697,0.017321,0.000218
2009-07-23,TECL,TECL,0.75,0.0,0.25,0.037215,0.0,0.037215,1.6187,0.0,0.019602,0.049693,-0.000218
2009-07-24,TECL,TECL,0.75,0.0,0.25,-0.0142,0.0,-0.0142,1.5957,-0.0142,-0.005961,-0.018861,-0.000218
2009-07-27,TECL,TECL,0.75,0.0,0.25,-0.008795,0.0,-0.008795,1.5817,-0.0229,-0.000102,-0.011726,0.0
2009-07-28,TECL,TECL,0.75,0.0,0.25,0.008662,0.0,0.008662,1.5954,-0.0144,0.002025,0.011476,0.000218
2009-07-29,TECL,TECL,0.75,0.0,0.25,-0.006346,0.0,-0.006346,1.5852,-0.0207,-0.001004,-0.008462,0.0
2009-07-30,TECL,TECL,0.75,0.0,0.25,0.008928,0.0,0.008928,1.5994,-0.0119,0.005075,0.011831,0.000218
2009-07-31,TECL,TECL,0.75,0.0,0.25,-0.002032,0.0,-0.002032,1.5961,-0.0139,-0.003544,-0.002492,-0.000653
2009-08-03,TECL,TECL,0.75,0.0,0.25,0.029179,0.0,0.029179,1.6427,0.0,0.013705,0.038816,0.000268
2009-08-04,TECL,TECL,0.75,0.0,0.25,-0.00272,0.0,-0.00272,1.6382,-0.0027,-0.002995,-0.0037,0.000218
2009-08-05,TECL,TECL,0.75,0.0,0.25,-0.017321,0.0,-0.017321,1.6099,-0.02,-0.009048,-0.023023,-0.000218
2009-08-06,TECL,TECL,0.75,0.0,0.25,-0.017389,0.0,-0.017389,1.5819,-0.037,-0.007089,-0.023185,0.0
2009-08-07,TECL,TECL,0.75,0.0,0.25,0.020136,0.0,0.020136,1.6137,-0.0176,0.010205,0.026848,0.0
2009-08-10,TECL,TECL,0.75,0.0,0.25,-0.014068,0.0,-0.014068,1.591,-0.0315,-0.004552,-0.018757,0.0
2009-08-11,TECL,TECL,0.75,0.0,0.25,-0.021722,0.0,-0.021722,1.5565,-0.0525,-0.014213,-0.028963,0.0
2009-08-12,TECL,TECL,0.75,0.0,0.25,0.039331,0.0,0.039331,1.6177,-0.0152,0.020087,0.052297,0.000436
2009-08-13,TECL,TECL,0.75,0.0,0.25,0.020016,0.0,0.020016,1.6501,0.0,0.004547,0.026833,-0.000436
2009-08-14,TECL,TECL,0.75,0.0,0.25,-0.021146,0.0,-0.021146,1.6152,-0.0211,-0.009556,-0.02834,0.000436
2009-08-17,TECL,TECL,0.75,0.0,0.25,-0.0592,0.0,-0.0592,1.5195,-0.0791,-0.023841,-0.078788,-0.000436
2009-08-18,TECL,TECL,0.75,0.0,0.25,0.031873,0.0,0.031873,1.568,-0.0497,0.015073,0.042352,0.000436
2009-08-19,TECL,TECL,0.75,0.0,0.25,0.01069,0.0,0.01069,1.5847,-0.0396,0.002562,0.014398,-0.000436
2009-08-20,TECL,TECL,0.75,0.0,0.25,0.024408,0.0,0.024408,1.6234,-0.0161,0.011233,0.032471,0.000218
