kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max_v,v_xlk,v_tecl,use_credit,rsi_n,rsi_max,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK,signal
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.06,10,,,0.8,1.0,0.21391982956303246,-0.3899013465265,0.8305412584081696,0.5486511689912649,0.17609946127706544,-0.4204780905696761,0.5575053342873568,0.4188076982524362,0.2026308144653366,-0.420478090569676,0.7117473309535668,0.48190576158393045,13.794164216240668,0.3095945668324471,0.2506220312146573,0.5985071250848224,0.15087084370052026,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.06,10,,,0.85,1.0,0.22612891144158542,-0.40352197925313116,0.8352417075511743,0.5603880905325698,0.1797356191173507,-0.4295779607565573,0.55582601472745,0.41840046635727485,0.21177029103571599,-0.4295779607565573,0.7136163005762067,0.4929728952173285,13.794164216240668,0.3275469561042061,0.2506220312146573,0.5985071250848224,0.15087084370052026,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.06,10,,,1.0,1.0,0.2613928545564721,-0.44565243649401853,0.8458182558172037,0.5865397182900411,0.187157538884563,-0.4784943389012547,0.5512003964343072,0.39113846010033165,0.23692787638087576,-0.4784943389012546,0.7174469264801197,0.49515293519443254,13.794164216240668,0.38178699788766196,0.2506220312146573,0.5985071250848224,0.15087084370052026,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.06,10,30.0,,0.8,1.0,0.16548773734350752,-0.43351423499148267,0.7009730215986216,0.38173541716977044,0.15877869546698387,-0.4367769971990827,0.5200695088214834,0.3635234833454671,0.16587547792219404,-0.4367769971990829,0.6220105284226743,0.37977155158330833,15.105179823569328,0.29924829745673914,0.27346754128025336,0.584483148608912,0.14204931011083466,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.06,10,30.0,,0.85,1.0,0.17559298710541626,-0.4473839777615959,0.7085160428950876,0.39248832285850677,0.16214832436336235,-0.446930762750379,0.5196283507672242,0.36280412510768667,0.1736448478623105,-0.4473839777615959,0.6259850330693284,0.3881338100910784,15.105179823569328,0.3166887024275056,0.27346754128025336,0.584483148608912,0.14204931011083466,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.06,10,30.0,,1.0,1.0,0.2045809659293032,-0.4873474962151194,0.7261884878563377,0.4197845839326922,0.16897677443954895,-0.4784943389012539,0.5180639357887954,0.3531426825812884,0.19483322309186502,-0.4873474962151194,0.6350574986245576,0.39978295693523774,15.105179823569328,0.3693565257838478,0.27346754128025336,0.584483148608912,0.14204931011083466,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.1,10,,,0.8,1.0,0.2463533955607673,-0.4035314125159203,0.91376563356208,0.6104937259402279,0.20500441936456637,-0.4382141942220176,0.6231074701946665,0.46781784357423756,0.23379937243250293,-0.43821419422201735,0.7880470071871521,0.533527611645666,12.027143180275955,0.3136712277997022,0.23908617959737616,0.6003166704365528,0.16059714996607102,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.1,10,,,0.85,1.0,0.26002688126346163,-0.4168477499915695,0.9166862079529708,0.6237934144270193,0.20968732193453832,-0.4470355654630761,0.6200687401913635,0.46906183340765517,0.24424761317033483,-0.4470355654630761,0.7883882858799695,0.5463717700342771,12.027143180275955,0.33175265927942404,0.23908617959737616,0.6003166704365528,0.16059714996607102,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.1,10,,,1.0,1.0,0.2997165551421248,-0.4554341334934011,0.9228100429741279,0.6580897941117263,0.22017801802280634,-0.4807412183604126,0.612000809930661,0.45799696305162346,0.2733200139967604,-0.48074121836041206,0.7883702210207009,0.5685387554845613,12.027143180275955,0.38641288336142793,0.23908617959737616,0.6003166704365528,0.16059714996607102,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.1,10,30.0,,0.8,1.0,0.1931604750033069,-0.43250711456532676,0.7854979076669683,0.44660646842176177,0.18307324953749893,-0.45401427743733824,0.577576106243876,0.40323236214254554,0.19234548751954783,-0.4540142774373379,0.693979484119519,0.4236551515631465,13.566161501922641,0.3015729088953341,0.26374123501470254,0.5858403076227098,0.15041845736258766,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.1,10,30.0,,0.85,1.0,0.20426907547749118,-0.44640151550359186,0.7906387290658178,0.45759046146394095,0.1874533073114526,-0.46385728987413,0.5762338601132413,0.4041184894654108,0.2011234126561272,-0.46385728987413033,0.6962600636103355,0.4335889874894559,13.566161501922641,0.3190372127259083,0.26374123501470254,0.5858403076227098,0.15041845736258766,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,3,0.95,-0.1,10,30.0,,1.0,1.0,0.23629023978631203,-0.48643608265457894,0.8023548088424806,0.485758043475782,0.19725667923464973,-0.49283073434574676,0.5723682845999303,0.40025238989308604,0.22533286806039277,-0.4928307343457464,0.7011000435075645,0.4572216226724002,13.566161501922641,0.3718086833538027,0.26374123501470254,0.5858403076227098,0.15041845736258766,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,5,,,10,,,0.8,1.0,0.25897344836826397,-0.4354684350272323,0.9033513097890524,0.5947008497919462,0.12730873601511128,-0.5587235832992221,0.4354147584383449,0.22785638519742168,0.2110476502685521,-0.5587235832992223,0.688791770561242,0.37773177395221263,7.52408957249491,0.3497606617396186,0.2185026012214431,0.6326622935987333,0.14883510517982357,XLK
vote,100,0.0,60,0.96,60,0.0,20,0.7,0.45,0.7,False,14,,sym,5,,,10,,,0.85,1.0,0.27288771309631454,-0.4496024989118105,0.9050100054680478,0.6069532837490778,0.1274938794454652,-0.5850421344108472,0.43643516902188617,0.21792255966974908,0.21966961059653123,-0.5850421344108475,0.6902047786246872,0.3754765642952267,7.52408957249491,0.37029049910230244,0.2185026012214431,0.6326622935987333,0.14883510517982357,XLK
