kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,voltarget,0.35,1.0,0.0,1.0,1.0,0.19825659295425058,-0.40697288120007835,0.780599623214378,0.48714939523644213,0.2507845703462652,-0.34134191509346445,0.8210987575226935,0.7347019491514738,0.2214051787991902,-0.40697288120007835,0.8064802541814513,0.5440293174973044,12.654150644650532,0.28236030395116485,0.23795521375254466,0.4514815652567292,0.3105632209907261
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,voltarget,0.4,1.0,0.0,1.0,1.0,0.2120479707144971,-0.41321265930115714,0.7943631635763666,0.513169105402341,0.26416154071654785,-0.3751225239311662,0.8119779117038459,0.7042006914120162,0.2350908473823361,-0.41321265930115714,0.8104234548652516,0.568934281393827,11.514137073060393,0.30188890428002346,0.22438362361456685,0.4650531553947071,0.3105632209907261
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,voltarget,0.5,1.0,0.0,1.0,1.0,0.23681560660024426,-0.4306042332451805,0.8331185735410912,0.5499611669293658,0.28242856222920976,-0.42111010566516294,0.7973701601444697,0.670676287340815,0.25756058142077065,-0.4306042332451805,0.8250734261353994,0.5981375972077798,11.17213300158335,0.328816676642109,0.219181180728342,0.47025559828093194,0.3105632209907261
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,voltarget,0.6,1.0,0.0,1.0,1.0,0.2543493071725744,-0.42802765187302194,0.8648258848533549,0.5942356902867325,0.2914717604235373,-0.44854732731526636,0.788933012936405,0.6498127235939881,0.27203087466332776,-0.4485473273152669,0.8376250230239953,0.6064708406391364,11.115132323003845,0.343428709606404,0.21691924903867904,0.4725175299705949,0.3105632209907261
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,voltarget,0.25,1.0,0.0,1.0,1.0,0.16745790817138362,-0.3626940263492422,0.791021576197079,0.4617057244007005,0.23598631776232115,-0.20085641377657493,0.9506589301609994,1.1749005835821773,0.19612891983895353,-0.3626940263492422,0.862703443505712,0.5407558591827999,13.509160823343134,0.22180618410921424,0.40465957928070573,0.34743270753223254,0.24790771318706176
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,voltarget,0.3,1.0,0.0,1.0,1.0,0.18042316761193544,-0.41098959734836027,0.7719887974947913,0.4389969205449411,0.27018253922697144,-0.20870103226894865,0.9597423007505685,1.2945912930549996,0.2169704845198539,-0.41098959734836027,0.8544468723529065,0.5279220834778132,11.343135037321872,0.25293247079667847,0.33295634471838953,0.41913594209454874,0.24790771318706176
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,voltarget,0.35,1.0,0.0,1.0,1.0,0.1905475514468995,-0.4341968262161745,0.7622203824333542,0.43885063165346855,0.29871905598795334,-0.21717298856020562,0.9601721228954014,1.375488995976777,0.23370547547395892,-0.4341968262161745,0.8489384550041976,0.5382477746569329,10.65912689436779,0.2789472496843061,0.29495589233205155,0.45713639448088667,0.24790771318706176
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,voltarget,0.4,1.0,0.0,1.0,1.0,0.2028210046860779,-0.43932089619983594,0.7727983281730396,0.46166937753359166,0.3169200578195135,-0.25224079877220273,0.9455224129305082,1.256418705309137,0.2481311572205176,-0.43932089619983594,0.8501929354073515,0.5648061800994985,9.462112644198145,0.299210187756318,0.28115810902510746,0.4709341777878308,0.24790771318706176
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,voltarget,0.5,1.0,0.0,1.0,1.0,0.22917064647388097,-0.44024719475628327,0.8182374046678281,0.5205499301381072,0.34810701465870797,-0.31356649852445617,0.935038290687573,1.1101537195356916,0.276301376356209,-0.44024719475628327,0.872733410379246,0.627605081070799,9.291110608459624,0.32721680306978307,0.2766342456457815,0.47545804116715673,0.24790771318706176
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,voltarget,0.6,1.0,0.0,1.0,1.0,0.24723729576311237,-0.43522930192379383,0.8518437591438911,0.5680621563628135,0.37565950351536914,-0.3656723747781403,0.9508335249276153,1.0273116850658686,0.2977949302228087,-0.43522930192379383,0.8977408265391613,0.6842253701818791,9.17710925130061,0.3423065894093011,0.2745985071250848,0.47749377968785345,0.24790771318706176
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,voltarget,0.25,1.0,0.0,1.0,1.0,0.15828090367911796,-0.36111810811348155,0.7498745343830518,0.43830785585910886,0.22945952179021467,-0.21775577174524818,0.9190483075243372,1.0537471404370335,0.18787947133409677,-0.36111810811348155,0.8250437436976159,0.5202715319804886,13.908165573399684,0.22416984472798823,0.3836236145668401,0.34788509387016514,0.2684912915629948
