kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,er_n,er_min,er_cash,rsi_n,rsi_max,macd_pos,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_XLK
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.15,14,85.0,False,fixed,,1.0,0.0,0.85,1.0,0.1969573791381296,-0.312430963588886,0.7803544563730895,0.630402879649589,0.46131084748907636,-0.27306537400193953,1.255104566787732,1.6893787766946964,0.2930924616344859,-0.312430963588886,0.9818312215640289,0.9381031197028,9.063107894141597,0.2930269023464559,0.3892784437909975,0.4582673603257182,0.15245419588328432
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.15,14,85.0,False,fixed,,1.0,0.0,1.0,1.0,0.21967797291669577,-0.36140950540962336,0.7704024614239026,0.6078367326496066,0.5267248689828905,-0.3166477716339211,1.2461146855256773,1.6634409465917264,0.3306052073470176,-0.36140950540962336,0.9720685635055941,0.9147662205848958,9.063107894141597,0.3412996469172685,0.3892784437909975,0.4582673603257182,0.15245419588328432
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.15,14,85.0,True,fixed,,1.0,0.0,0.85,1.0,0.16070666087317975,-0.32263806418942653,0.7135129721768873,0.4981019870576276,0.38255952063856524,-0.2730653740019394,1.1859412373437868,1.4009814391034732,0.242429376094508,-0.32263806418942653,0.9138280969760861,0.7513973179313814,11.058131644424337,0.2615446373006995,0.38769509160823346,0.35376611626328885,0.25853879212847775
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.15,14,85.0,True,fixed,,1.0,0.0,1.0,1.0,0.17440358840023773,-0.374569459339435,0.6940249590791037,0.46561080742622196,0.4268823048505692,-0.3166477716339211,1.1686884371626802,1.348129824656057,0.26701388874198884,-0.374569459339435,0.8948459135173492,0.7128554720208001,11.058131644424337,0.30183954599663215,0.38769509160823346,0.35376611626328885,0.25853879212847775
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,,False,fixed,,1.0,0.0,0.85,1.0,0.10484288983100076,-0.2711677170000465,0.5620634707524347,0.38663485089924177,0.18765723787433308,-0.3122702116254962,0.6480555540576205,0.6009450497935721,0.13811165385832336,-0.3122702116254964,0.6039356427073459,0.44228251276160707,10.887129608685818,0.24240518778259418,0.5582447410088215,0.3191585614114454,0.12259669757973309
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,,False,fixed,,1.0,0.0,1.0,1.0,0.11241353954245259,-0.31076605665569124,0.5438300899815189,0.3617304307690191,0.20588086910714853,-0.3647813116940102,0.6469729435618462,0.5643953308656551,0.15003259626310794,-0.36478131169400885,0.5936550799837756,0.41129463449311915,10.887129608685818,0.28171138874225937,0.5582447410088215,0.3191585614114454,0.12259669757973309
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,,True,fixed,,1.0,0.0,0.85,1.0,0.09433529043220057,-0.2573908030954226,0.5308074403129133,0.3665060650874445,0.18130885959468435,-0.3122702116254962,0.6381448157768075,0.5806152903631007,0.12905776906533317,-0.3122702116254966,0.5825279202405585,0.4132887616578401,11.40013571590138,0.23427660702236525,0.5553042298122597,0.28997964261479303,0.1547161275729473
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,,True,fixed,,1.0,0.0,1.0,1.0,0.0985337098410679,-0.29957395501204087,0.5051333404555617,0.32891280497701314,0.1991119127273675,-0.3647813116940102,0.6383169348283761,0.5458391270175286,0.1386284380289593,-0.36478131169400774,0.5689362168331588,0.38003163425555647,11.40013571590138,0.2714436749049889,0.5553042298122597,0.28997964261479303,0.1547161275729473
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,75.0,False,fixed,,1.0,0.0,0.85,1.0,0.11230036462802029,-0.2711677170000457,0.6425295056846722,0.4141361880035349,0.18977308706106566,-0.24777559178277653,0.6972727387942128,0.7659071085074379,0.14367622762456156,-0.2711677170000457,0.6703138460655511,0.5298426715910926,10.944130287265324,0.21675884842948953,0.5636733770640127,0.26441981452160146,0.17190680841438588
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,75.0,False,fixed,,1.0,0.0,1.0,1.0,0.12242726423540251,-0.31076605665569046,0.6274117239659754,0.39395314132085,0.21087135464839157,-0.29675039994703534,0.7006547454245906,0.7106017538174451,0.15829058735887247,-0.31076605665569046,0.6637710447481666,0.5093561023437274,10.944130287265324,0.24966849975188216,0.5636733770640127,0.26441981452160146,0.17190680841438588
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,75.0,True,fixed,,1.0,0.0,0.85,1.0,0.1114716004188705,-0.2339266349931569,0.6451201668620455,0.47652376319665946,0.16924211730657923,-0.2300114628264608,0.6434886218069511,0.7357986216289975,0.13572679195782378,-0.2339266349931569,0.6490576789581298,0.5802109364835442,11.229133680162859,0.21128238960070306,0.5614114453743497,0.23908617959737616,0.19950237502827414
v2vol,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.9,,10,,,10,,0.25,14,75.0,True,fixed,,1.0,0.0,1.0,1.0,0.12081060921878284,-0.2678289681287471,0.6274980078229193,0.45107372090052783,0.1873153838463022,-0.2694414359361421,0.6485451600750128,0.6951988776169383,0.1487765049890144,-0.2694414359361418,0.6418851181375531,0.5521663899693392,11.229133680162859,0.24257833272820023,0.5614114453743497,0.23908617959737616,0.19950237502827414
