kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_thr,sizing,target_vol,max_leverage,min_weight,tecl_w,xlk_w,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_XLK,pct_TECL
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,fixed,,1.0,0.0,0.85,1.0,0.22918562199393677,-0.3771536434332511,0.8733997161389079,0.607671769806191,0.2998370651634381,-0.37734520752901424,0.8673285810305366,0.7945961925073171,0.25846165147869016,-0.3773452075290148,0.8749634710509553,0.6849474866030107,12.426147930332503,0.3004042390185733,0.2445148156525673,0.2843248133906356,0.4711603709567971
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,0.95,,10,,,fixed,,1.0,0.0,1.0,1.0,0.25877012476865024,-0.42744651226126473,0.8691192952357877,0.6053859777676329,0.32487438440395744,-0.43964634348977516,0.851154084827544,0.7389448114709796,0.2870657624422528,-0.4396463434897746,0.8661861787546125,0.6529470031835473,12.426147930332503,0.3471305551422022,0.2445148156525673,0.2843248133906356,0.4711603709567971
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,fixed,,1.0,0.0,0.4,1.0,0.13953941429225258,-0.24083462375302478,0.8954131412877484,0.5793993077812177,0.1707581067384194,-0.2390712859320122,0.7180066610748467,0.7142560264932029,0.15257427601641793,-0.24083462375302478,0.8116840953475327,0.6335230110969526,10.83012893010631,0.17932676977809722,0.6894367790092739,0.3105632209907261,
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,fixed,,1.0,0.0,0.5,1.0,0.16317322411164303,-0.2566707821545703,0.9048613484643547,0.6357296406779098,0.19259913684878005,-0.26613069719112104,0.7410276680730123,0.7237013199964133,0.17594195923120193,-0.26613069719112015,0.8315195089016895,0.6611111047623728,11.115132323003845,0.20523230815752602,0.21691924903867904,0.3105632209907261,0.4725175299705949
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,fixed,,1.0,0.0,0.6,1.0,0.18613480216793898,-0.2868971107493421,0.9056908988079971,0.6487859068422697,0.2131935059727772,-0.3049897954824051,0.7527850426655132,0.6990184889155622,0.19843516950441398,-0.304989795482404,0.8400704151627247,0.6506288815025696,11.115132323003845,0.23301834725399967,0.21691924903867904,0.3105632209907261,0.4725175299705949
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,fixed,,1.0,0.0,0.7,1.0,0.20836200836386243,-0.3239681484363184,0.9027544307975884,0.6431558453186013,0.23245570242077962,-0.3448087960919629,0.7579725128298266,0.6741582728034062,0.21998122894619843,-0.3448087960919626,0.8426511973748768,0.6379803283426915,11.115132323003845,0.2620874661158107,0.21691924903867904,0.3105632209907261,0.4725175299705949
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,fixed,,1.0,0.0,0.85,1.0,0.24019108157646518,-0.3771536434332501,0.8958417128917695,0.6368520780814756,0.2586716881022897,-0.4015722251814551,0.7592290360447973,0.6441473585116747,0.25036829843079667,-0.40157222518145486,0.8411802114019907,0.6234701573737202,11.115132323003845,0.307297045707978,0.21691924903867904,0.3105632209907261,0.4725175299705949
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,3,,,10,,,fixed,,1.0,0.0,1.0,1.0,0.27002402076990517,-0.4280276518730224,0.8884049877151725,0.6308564869309187,0.2814424753732192,-0.4548413098219256,0.7567836241276926,0.6187706993531578,0.278228684700939,-0.4548413098219256,0.8370719887123792,0.6117049588346932,11.115132323003845,0.3537752796130233,0.21691924903867904,0.3105632209907261,0.4725175299705949
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,fixed,,1.0,0.0,0.4,1.0,0.14483470446937563,-0.21141702032247345,0.9631480748699698,0.6850664352778215,0.2216208921428704,-0.2034655184526042,0.9902969848075016,1.089230715004397,0.17445167810184103,-0.21141702032247345,0.9735275224394206,0.8251543694814668,8.43610042976702,0.16660676203722863,0.7520922868129383,0.24790771318706176,
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,fixed,,1.0,0.0,0.5,1.0,0.16668653056731997,-0.23319004140524413,0.947985040338675,0.7148098159031049,0.2514426375935601,-0.20346551845260463,0.9882139421976446,1.2357997537166538,0.19957265003883662,-0.23319004140524413,0.9655130334435105,0.8558369338423579,9.17710925130061,0.195334906165233,0.2745985071250848,0.24790771318706176,0.47749377968785345
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,fixed,,1.0,0.0,0.6,1.0,0.18779519496497166,-0.25707033241062527,0.9313696779385099,0.7305206835964307,0.2800843226379015,-0.2314449351922141,0.9795953349041011,1.2101553330829755,0.22379844931239368,-0.25707033241062527,0.9532790574648539,0.8705728397896746,9.17710925130061,0.22553656453449916,0.2745985071250848,0.24790771318706176,0.47749377968785345
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,fixed,,1.0,0.0,0.7,1.0,0.20810238939603476,-0.2988596138609606,0.9157954745560495,0.6963215494645285,0.30742719162466425,-0.2737706915739788,0.9689074806696084,1.1229368266456334,0.2470497059794976,-0.2988596138609606,0.9404241652573578,0.8266413209462062,9.17710925130061,0.25669215469675233,0.2745985071250848,0.24790771318706176,0.47749377968785345
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,fixed,,1.0,0.0,0.85,1.0,0.23693498477894193,-0.3697215663396548,0.8956387593334125,0.6408470761515577,0.34575191052886,-0.33411241683739723,0.9527991313899631,1.0348370581424018,0.27992870888580956,-0.3697215663396548,0.9226035279920216,0.7571338390053379,9.17710925130061,0.30457201566990616,0.2745985071250848,0.24790771318706176,0.47749377968785345
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.9,,10,,,fixed,,1.0,0.0,1.0,1.0,0.2636459496456296,-0.4352293019237935,0.8791778237162409,0.6057633263207832,0.380511886699048,-0.3907556325002193,0.9382990893551433,0.9737847776227115,0.3101825046443738,-0.4352293019237935,0.9073639128062351,0.7126875494671662,9.17710925130061,0.35332965782358605,0.2745985071250848,0.24790771318706176,0.47749377968785345
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,fixed,,1.0,0.0,0.4,1.0,0.1359871373343342,-0.23546099032988022,0.8934360934206502,0.5775357401827649,0.214508859881962,-0.2199509154273387,0.9462395109920124,0.9752578636246937,0.16621188864142233,-0.23546099032988022,0.9157182120566337,0.7058998962357201,8.892105858403076,0.1700559937107434,0.7315087084370052,0.2684912915629948,
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,fixed,,1.0,0.0,0.5,1.0,0.15741755076606356,-0.25657014993025073,0.8899321170519365,0.6135458501655705,0.24416354917956284,-0.21995091542733958,0.952335596059032,1.1100819867249967,0.19099626944954995,-0.25657014993025073,0.9175606238026356,0.74442124113609,9.405111965618637,0.19835948180009047,0.2524315765663877,0.2684912915629948,0.4790771318706175
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,fixed,,1.0,0.0,0.6,1.0,0.17809533392261123,-0.2773362474881629,0.8817242799358936,0.6421639274909876,0.2726453496200756,-0.23144493519221332,0.949843979349706,1.1780138951567276,0.21488134622913901,-0.2773362474881629,0.9125885290386385,0.7748044050329572,9.405111965618637,0.22823957637980027,0.2524315765663877,0.2684912915629948,0.4790771318706175
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,fixed,,1.0,0.0,0.7,1.0,0.19796278197751382,-0.2977569945121725,0.8723457032600404,0.6648467899195596,0.2998361765838422,-0.27377069157397804,0.9437544243017222,1.095209187148584,0.23778843505636704,-0.2977569945121725,0.9051456390317953,0.7985989899110366,9.405111965618637,0.2591515032081412,0.2524315765663877,0.2684912915629948,0.4790771318706175
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,fixed,,1.0,0.0,0.85,1.0,0.2261206150018864,-0.3576719758869289,0.8588126039915559,0.6322010955461886,0.3379489672915925,-0.33411241683739756,0.932599136417533,1.0114828131516647,0.27014635024356504,-0.3576719758869289,0.8931468888906333,0.7552907928379791,9.405111965618637,0.30676966916016357,0.2524315765663877,0.2684912915629948,0.4790771318706175
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,0.95,,10,,,fixed,,1.0,0.0,1.0,1.0,0.25214091854864473,-0.42059464287807613,0.8469672929951181,0.5994867571856746,0.3725182623387615,-0.3907556325002193,0.9215470387533146,0.9533279404195216,0.2998756659624606,-0.42059464287807613,0.8819735203837906,0.7129802317748254,9.405111965618637,0.3553510333176679,0.2524315765663877,0.2684912915629948,0.4790771318706175
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,fixed,,1.0,0.0,0.4,1.0,0.12549352781512035,-0.282933781396304,0.8061555080534477,0.44354381154416544,0.14918923099591908,-0.29120857573238135,0.6224740792417489,0.5123105685356703,0.13573513129068804,-0.2912085757323811,0.7199128672539655,0.4661096636639842,7.8660936439719515,0.18260014649148384,0.7079846188645103,0.2920153811354897,
v2vol,100,0.0,60,0.96,20,0.0,20,0.7,,,True,sym,5,,,10,,,fixed,,1.0,0.0,0.5,1.0,0.1431793663680907,-0.3027322024854652,0.7959745343675083,0.47295717202389476,0.17735868045440495,-0.29120857573238135,0.6754214438328064,0.6090434665543516,0.15766483964009104,-0.3027322024854652,0.7419795999041229,0.5208063045346517,8.208097715448993,0.21035406478195945,0.22370504410766795,0.2920153811354897,0.48427957475684236
