kind,trend_n,trend_buffer,prox_n,prox_thr,mom_n,mom_thr,vol_n,vol_max,abs_vol_max,vix_max,require_slope,confirm_style,confirm_up,cb_vol_pct,cb_drop,cb_drop_n,cb_vix,crash_mom_n,crash_mom_thr,crash_below_n,crash_vol_min,crash_dd_n,crash_dd,crash_vix_min,crash_slope_n,crash_confirm,IS_CAGR,IS_maxDD,IS_Sharpe,IS_Calmar,OOS_CAGR,OOS_maxDD,OOS_Sharpe,OOS_Calmar,ALL_CAGR,ALL_maxDD,ALL_Sharpe,ALL_Calmar,trades_per_yr,vol,pct_BIL,pct_TECL,pct_TECS,pct_XLK
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,25.0,,5,0.26407691134675204,-0.3484210901816289,0.8254258413842837,0.7579245883453583,0.21836676488391116,-0.5391049933976733,0.5939827012880541,0.40505424278797564,0.2506507827081985,-0.539104993397673,0.7140206135838294,0.46493871468058345,9.9181180728342,0.4233472534895894,0.23863379325944356,0.5363040036190907,0.014023976475910428,0.2110382266455553
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,25.0,100.0,1,0.20385479467813594,-0.5467097620356332,0.6652504599312166,0.3728757173076584,0.10295511917013167,-0.7149046580229177,0.4074533390809375,0.14401237705578251,0.16870027235655694,-0.7149046580229179,0.5531790990910943,0.23597590316882347,12.711151323230037,0.43837270275153156,0.22438362361456685,0.5363040036190907,0.02850033928975345,0.210812033476589
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,25.0,100.0,3,0.24069608481330285,-0.4786745995166417,0.75925480064196,0.5028386403965326,0.16306102697946478,-0.6315077955476984,0.5103412731746884,0.25820904845369974,0.2148313303366165,-0.6315077955476988,0.6544196007304547,0.34018793093487626,10.203121465731735,0.4115022634013204,0.23772902058357837,0.5363040036190907,0.01470255598280932,0.2112644198145216
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,25.0,100.0,5,0.26407691134675204,-0.3484210901816289,0.8254258413842837,0.7579245883453583,0.3926153390634297,-0.3624371879111824,0.9262077299161364,1.0832644997776626,0.31474633423277987,-0.36243718791118074,0.8718623022171249,0.868416224192513,9.291110608459624,0.38573012646304056,0.2438362361456684,0.5363040036190907,0.008369147251752997,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,35.0,,1,0.2115070127749108,-0.4624354505769104,0.6874896361167991,0.4573762943802117,0.09079516470665383,-0.5874900890876512,0.3968709440870332,0.15454756836435338,0.16849239717399778,-0.5874900890876502,0.5507612633429475,0.2868004078769398,10.65912689436779,0.4498737052212551,0.23772902058357837,0.5363040036190907,0.015607328658674507,0.2103596471386564
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,35.0,,3,0.26242385145237446,-0.4786745995166424,0.8150689656441134,0.5482301582690322,0.16034571268331055,-0.5494788023810747,0.5086811996034586,0.2918141919005413,0.22703546801103158,-0.5494788023810748,0.6682226305138499,0.4131833057566756,9.17710925130061,0.4316727347630728,0.2445148156525673,0.5363040036190907,0.008369147251752997,0.210812033476589
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,35.0,,5,0.30667599529648437,-0.3484210901816289,0.9272732235632773,0.8801878070486974,0.2861743755771673,-0.49235901022240647,0.707037728570647,0.5812311131422125,0.30299629767570124,-0.4923590102224067,0.8223090287209807,0.6153970809609696,8.83510517982357,0.4110682250959682,0.24677674734223026,0.5363040036190907,0.005654829224157431,0.2112644198145216
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,35.0,100.0,1,0.23536225003344824,-0.4624354505769108,0.7407866859031795,0.508962385430923,0.20075507248869418,-0.5710732572239875,0.5830400644113707,0.35153996435513984,0.22609378257335644,-0.5710732572239869,0.6794154799869722,0.3959102964695083,9.74711603709568,0.4082618498632239,0.2427052703008369,0.5363040036190907,0.009500113096584483,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,35.0,100.0,3,0.26242385145237446,-0.4786745995166424,0.8150689656441134,0.5482301582690322,0.295405644309628,-0.5494788023810739,0.7569338172953812,0.5376106285256818,0.27860465463639206,-0.5494788023810744,0.7944042249434448,0.5070343995602841,8.949106536982583,0.39466987760648353,0.24745532684912916,0.5363040036190907,0.004750056548292241,0.2114906129834879
v2,100,0.0,60,0.96,60,0.0,20,0.7,,,True,sym,5,0.95,,10,,10,-0.03,,,120,-0.1,35.0,100.0,5,0.30667599529648437,-0.3484210901816289,0.9272732235632773,0.8801878070486974,0.39916704765106203,-0.32197721047907757,0.9541386526424096,1.2397369585789375,0.34467242788560193,-0.3484210901816289,0.9432475195967467,0.9892410006120099,8.607102465505541,0.37665671384908594,0.24926487220085952,0.5363040036190907,0.002940511196561864,0.2114906129834879
