signal_date,entry_date,exit_date,asset,weight,days,ret_gross,cost,ret_net,equity_in,equity_out,underlying_ret,max_adverse
2019-08-13,2019-08-14,2019-09-10,XLK,1.0,19,0.0136,0.001,0.01256,14.1764,14.3544,0.0136,-0.0354
2019-09-10,2019-09-11,2019-10-23,TECL,0.75,31,0.00576,0.001,0.00477,14.3544,14.4229,0.00343,-0.0904
2019-10-23,2019-10-24,2019-10-30,XLK,1.0,5,0.03678,0.001,0.03576,14.4229,14.9386,0.03678,-0.0091
2019-10-30,2019-10-31,2020-01-23,TECL,0.75,57,0.41646,0.001,0.41504,14.9386,21.1387,0.58426,-0.0562
2020-01-23,2020-01-24,2020-01-31,XLK,1.0,6,-0.02615,0.001,-0.02713,21.1387,20.5652,-0.02615,-0.0274
2020-01-31,2020-02-03,2020-02-10,TECL,0.75,6,0.13678,0.001,0.13567,20.5652,23.3553,0.18474,-0.0198
2020-02-10,2020-02-11,2020-02-20,XLK,1.0,7,0.00673,0.001,0.00572,23.3553,23.4889,0.00673,-0.0104
2020-02-20,2020-02-21,2020-05-08,BIL,1.0,55,0.00212,0.001,0.00112,23.4889,23.5152,0.00212,-0.0008
2020-05-08,2020-05-11,2020-06-19,XLK,1.0,29,0.07871,0.001,0.07764,23.5152,25.3409,0.07871,-0.0573
2020-06-19,2020-06-22,2020-09-01,TECL,0.75,51,0.58149,0.001,0.57998,25.3409,40.038,0.82326,-0.0869
2020-09-01,2020-09-02,2020-11-03,XLK,1.0,44,-0.09975,0.001,-0.10064,40.038,36.0085,-0.09975,-0.1269
2020-11-03,2020-11-04,2020-11-10,BIL,1.0,5,-0.00011,0.001,-0.00111,36.0085,35.9686,-0.00011,-0.0001
2020-11-10,2020-11-11,2020-12-04,XLK,1.0,17,0.06408,0.001,0.06304,35.9686,38.236,0.06408,-0.0187
2020-12-04,2020-12-07,2021-03-15,TECL,0.75,67,0.10452,0.001,0.10342,38.236,42.1904,0.12526,-0.2022
2021-03-15,2021-03-16,2021-04-07,XLK,1.0,16,0.04444,0.001,0.0434,42.1904,44.0217,0.04444,-0.0315
2021-04-07,2021-04-08,2021-12-07,TECL,0.75,170,0.59325,0.001,0.5917,44.0217,70.0694,0.82413,-0.1835
2021-12-07,2021-12-08,2022-01-10,BIL,1.0,23,-0.00011,0.00075,-0.00086,70.0694,70.0092,-0.00011,-0.0002
2022-01-10,2022-01-11,2022-01-24,XLK,1.0,9,-0.06526,0.001,-0.06618,70.0092,65.376,-0.06526,-0.0854
2022-01-24,2022-01-25,2022-08-02,BIL,1.0,131,0.00178,0.001,0.00078,65.376,65.4271,0.00178,-0.0003
2022-08-02,2022-08-03,2022-09-06,XLK,1.0,24,-0.07642,0.001,-0.07732,65.4271,60.3681,-0.07642,-0.1293
2022-09-06,2022-09-07,2023-01-26,BIL,1.0,98,0.0128,0.001,0.01179,60.3681,61.08,0.0128,-0.0003
2023-01-26,2023-01-27,2023-03-02,TECL,0.75,24,0.00417,0.00075,0.00342,61.08,61.2889,-0.00141,-0.1333
2023-03-02,2023-03-03,2023-03-20,XLK,1.0,12,0.04852,0.001,0.0475,61.2889,64.1999,0.04852,-0.0358
2023-03-20,2023-03-21,2023-08-10,TECL,0.75,99,0.36763,0.001,0.36629,64.1999,87.7156,0.48779,-0.1524
2023-08-10,2023-08-11,2023-09-05,XLK,1.0,17,0.05168,0.001,0.05062,87.7156,92.1561,0.05168,-0.0286
2023-09-05,2023-09-06,2023-09-18,TECL,0.75,9,-0.09274,0.001,-0.09367,92.1561,83.524,-0.12342,-0.0796
2023-09-18,2023-09-19,2023-09-26,XLK,1.0,6,-0.04358,0.001,-0.04453,83.524,79.8043,-0.04358,-0.0431
2023-09-26,2023-09-27,2023-11-08,BIL,1.0,31,0.00626,0.001,0.00526,79.8043,80.2238,0.00626,0.0
2023-11-08,2023-11-09,2023-11-29,XLK,1.0,14,0.05189,0.001,0.05083,80.2238,84.3015,0.05189,-0.0081
2023-11-29,2023-11-30,2024-02-27,TECL,0.75,60,0.23829,0.001,0.23705,84.3015,104.2853,0.31409,-0.1045
2024-02-27,2024-02-28,2024-03-05,XLK,1.0,5,-0.00044,0.001,-0.00144,104.2853,104.135,-0.00044,-0.0246
2024-03-05,2024-03-06,2024-03-21,BIL,1.0,12,0.00262,0.001,0.00162,104.135,104.3038,0.00262,0.0
2024-03-21,2024-03-22,2024-03-27,XLK,1.0,4,-0.00534,0.001,-0.00633,104.3038,103.6434,-0.00534,-0.0107
2024-03-27,2024-03-28,2024-04-23,TECL,0.75,18,-0.13001,0.001,-0.13088,103.6434,90.0782,-0.17299,-0.1739
2024-04-23,2024-04-24,2024-05-13,BIL,1.0,14,0.00282,0.00075,0.00206,90.0782,90.2642,0.00282,0.0
2024-05-13,2024-05-14,2024-05-23,XLK,1.0,8,0.03331,0.001,0.03229,90.2642,93.1789,0.03331,-0.0081
2024-05-23,2024-05-24,2024-06-24,TECL,0.75,20,0.09002,0.001,0.08895,93.1789,101.4674,0.11659,-0.0829
2024-06-24,2024-06-25,2024-06-28,BIL,1.0,4,0.00065,0.00075,-0.0001,101.4674,101.4576,0.00065,0.0
2024-06-28,2024-07-01,2024-07-17,TECL,0.75,12,-0.02611,0.00075,-0.02683,101.4576,98.7358,-0.03871,-0.1244
2024-07-17,2024-07-18,2024-09-25,BIL,1.0,49,0.01031,0.00075,0.00955,98.7358,99.6792,0.01031,0.0
2024-09-25,2024-09-26,2024-10-29,XLK,1.0,24,0.04045,0.001,0.03942,99.6792,103.6085,0.04045,-0.0306
2024-10-29,2024-10-30,2025-01-28,TECL,0.75,60,-0.03224,0.001,-0.03325,103.6085,100.1638,-0.06018,-0.139
2025-01-28,2025-01-29,2025-01-30,BIL,1.0,2,0.00022,0.00075,-0.00053,100.1638,100.1106,0.00022,0.0
2025-01-30,2025-01-31,2025-02-11,TECL,0.75,8,0.03709,0.00075,0.0363,100.1106,103.7444,0.04819,-0.0304
2025-02-11,2025-02-12,2025-02-28,XLK,1.0,12,-0.0457,0.001,-0.04665,103.7444,98.9043,-0.0457,-0.0809
2025-02-28,2025-03-03,2025-05-16,BIL,1.0,54,0.0088,0.001,0.00779,98.9043,99.675,0.0088,0.0
2025-05-16,2025-05-19,2025-06-17,XLK,1.0,21,0.02737,0.001,0.02635,99.675,102.301,0.02737,-0.033
2025-06-17,2025-06-18,2025-11-19,TECL,0.75,108,0.35233,0.001,0.35099,102.301,138.2074,0.46553,-0.183
2025-11-19,2025-11-20,2025-12-11,XLK,1.0,15,0.05328,0.001,0.05219,138.2074,145.4207,0.05328,-0.0051
2025-12-11,2025-12-12,2026-01-27,TECL,0.75,30,-0.01015,0.001,-0.01121,145.4207,143.7906,-0.01989,-0.0773
2026-01-27,2026-01-28,2026-02-09,XLK,1.0,9,-0.03175,0.001,-0.03271,143.7906,139.0877,-0.03175,-0.0911
2026-02-09,2026-02-10,2026-04-20,BIL,1.0,48,0.00687,0.001,0.00587,139.0877,139.9037,0.00687,-0.0001
2026-04-20,2026-04-21,2026-04-23,XLK,1.0,3,0.00828,0.001,0.00727,139.9037,140.9214,0.00828,-0.0142
2026-04-23,2026-04-24,2026-04-24,BIL,1.0,1,0.00022,0.001,-0.00078,140.9214,140.8113,0.00022,0.0
2026-04-24,2026-04-27,2026-05-04,XLK,1.0,6,0.01142,0.001,0.01041,140.8113,142.2774,0.01142,-0.0169
2026-05-04,2026-05-05,2026-05-11,TECL,0.75,5,0.22742,0.001,0.22625,142.2774,174.4673,0.31048,-0.005
2026-05-11,2026-05-12,2026-05-19,XLK,1.0,6,-0.02609,0.001,-0.02707,174.4673,169.7438,-0.02609,-0.0349
2026-05-19,2026-05-20,2026-05-21,BIL,1.0,2,0.00022,0.001,-0.00078,169.7438,169.611,0.00022,0.0
2026-05-21,2026-05-22,2026-06-05,XLK,1.0,10,0.00952,0.001,0.00852,169.611,171.056,0.00952,-0.0904
2026-06-05,2026-06-08,2026-07-29,BIL,1.0,36,0.00501,0.001,0.00401,171.056,171.7415,0.00501,-0.0001
2026-07-29,2026-07-30,2026-07-30,XLK,1.0,1,0.05499,0.001,0.05399,171.7415,181.0142,0.05499,0.0
2026-07-30,2026-07-31,2026-08-13,BIL,1.0,10,0.00145,0.001,0.00045,181.0142,181.0962,0.00145,0.0
